hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,567868
2,15,7.5,22.5,7425572
3,30,22.5,37.5,81817625
4,45,37.5,52.5,220896844
5,60,52.5,67.5,141157868
6,75,67.5,82.5,67307257
7,90,82.5,97.5,28084841
8,105,97.5,112.5,14030661
9,120,112.5,127.5,7930225
10,135,127.5,142.5,6345883
11,150,142.5,157.5,3609153
12,165,157.5,172.5,2061320
13,180,172.5,187.5,1890122
14,195,187.5,202.5,1996969
15,210,202.5,217.5,1981248
16,225,217.5,232.5,1689466
17,240,232.5,247.5,614494
18,255,247.5,262.5,197753
19,270,262.5,277.5,109958
20,285,277.5,292.5,97409
21,300,292.5,307.5,103865
22,315,307.5,322.5,118606
23,330,322.5,337.5,170157
24,345,337.5,352.5,277829
